wkt_geom,STATUS,LOCATION,APP_NO,DECISION,CapacityMw,Type,lon,lat
Point (-5.01011048314982155 50.33714739361791857),Application approved with conditions,"Land Adj To Hendra Barns, Mitchell",PA13/02466,7/8/2013,12,Approved,-5.0101,50.3371
Point (-4.3257861630514034 50.60600654242452379),Application approved with conditions,"Hexworthy Barton, Lawhitton, Launceston",PA13/03036,7/8/2013,5.31,Approved,-4.3258,50.606
Point (-4.20079571205438462 50.35448260738528603),Pre application - closed/issued,"The Quarry At Southdown Quay, Millbrook, Torpoint",PA12/03206/PREAPP,5/3/2013,1.2,Pre application public,-4.2008,50.3545
Point (-4.77766452848303746 50.41086651245443306),Application approved on appeal,"Land South Of A391 Near Bodwen, Bugle",PA13/03710,3/24/2015,5,Appeal allowed,-4.7777,50.4109
Point (-4.95360161624969209 50.34108306909007524),Pre application - closed/issued,"Trendeal Farm, Land Adj Homer Downs, Ladock",PA13/01476/PREAPP,6/21/2013,0,Pre application public,-4.9536,50.3411
Point (-4.3648047861925221 50.42442575827425344),Operational,"Land at Trequite Farm, Menheniot, Liskeard",PA13/04650,8/22/2013,10,Operational,-4.3648,50.4244
Point (-4.84657133501329085 50.56463902565329249),Operational on appeal,"Treswarrow Farm, Trelights, Port Isaac",PA13/04287,10/20/2014,6,Operational on appeal,-4.8466,50.5646
Point (-4.47554019207083176 50.84980790967670572),Pre application - closed/issued,"Norton Barton, Launcells, Bude",PA12/02735/PREAPP,6/6/2013,5.8,Pre application public,-4.4755,50.8498
Point (-4.47237837834114771 50.36706130903090184),Pre application - closed/issued,"Trenant Park, Looe",PA13/00987/PREAPP,6/7/2013,0,Pre application public,-4.4724,50.3671
Point (-4.94591677218214709 50.36223562239754159),Operational on appeal,"Land at Burthy Farm, Summercourt, Newquay",PA13/05983,9/30/2014,10,Operational on appeal,-4.9459,50.3622
Point (-4.87596527597326634 50.35116159994466045),Operational,"Carloggas Farm, St. Stephen, St. Austell",PA13/06288,10/29/2013,8.3,Operational,-4.876,50.3512
Point (-5.19618421278615372 50.28970840006925158),Operational,"Gover Farm, Gover Hill, Mount Hawke",PA13/03890,8/30/2013,8,Operational,-5.1962,50.2897
Point (-4.95356931663745303 50.34104072275814445),Application approved with conditions,"Land Adj To Homer Downs, Trendeal Farm, Ladock",PA13/06612,10/29/2013,14,Approved,-4.9536,50.341
Point (-4.92788965109095578 50.3316061807822166),Application approved on appeal,"Land Adjacent To Carnemough Farm, Grampound Road, Truro",PA13/06755,2/27/2015,7,Appeal allowed,-4.9279,50.3316
Point (-5.35788433274958464 50.19057289797493837),Refused Appeal Lodged,"Lanyon Farm, Gwinear Lane, Gwinear, Hayle",PA13/07812,8/18/2014,12.8,Appeal resubmitted,-5.3579,50.1906
Point (-5.49248754001615946 50.15419859835760974),Application approved with conditions,"Land off Blowing House Hill, Ludgvan",PA13/07771,11/18/2013,1,Approved,-5.4925,50.1542
Point (-5.15895906034606799 50.28930667156392786),Pre application - closed/issued,"Land at Silverwell Farm, Greenacres Farm and Acland Farm, Silverwell, Blackwater",PA13/02614/PREAPP,10/11/2013,25,Pre application public,-5.159,50.2893
Point (-5.38194172642708235 50.15676710640050828),Application refused on appeal,"Land At Bunkers Hill, Pilgrims Way, St Erth, Hayle",PA13/08286,3/11/2015,6.2,Appeal dismissed,-5.3819,50.1568
Point (-5.19074163523816789 50.15259696887982699),Pre application - closed/issued,"Land at Butteriss Farm, Edgcumbe, Penryn",PA13/02796/PREAPP,10/28/2013,3.28,Pre application public,-5.1907,50.1526
Point (-4.75352083866787201 50.5472717139630987),Application approved on appeal,"Land at Kellygreen Farm, St. Tudy",PA13/07973,6/23/2014,4,Appeal allowed,-4.7535,50.5473
Point (-4.83761495873722591 50.3239654867676478),Pre application - closed/issued,"Ninnis Farm, Sticker, St Austell",PA13/02640/PREAPP,10/29/2013,1.18,Pre application public,-4.8376,50.324
Point (-5.12570518195234381 50.2936901349846579),Operational,"Garvinack Farm , Tregavethan, Truro",PA13/10523,5/23/2014,7,Operational,-5.1257,50.2937
Point (-5.17322569728433201 50.31551259485006256),Application approved with conditions,"Trewartha Farm, Mithian, St. Agnes",PA13/11561,8/28/2014,2.6,Approved,-5.1732,50.3155
Point (-5.19074163523816789 50.15259696887982699),Refused Appeal Lodged,"Land at Butteriss Farm, Edgcumbe, Penryn",PA13/11664,6/16/2014,3.1,Refused app lodged,-5.1907,50.1526
Point (-4.89900133201726984 50.35485751247681208),Operational,"Land At Trethosa Farm, Trethosa, St Stephen, St Austell",,6/6/2014,4.16,Operational,-4.899,50.3549
,PA13/11191,,,,,,,
Point (-5.1389494713756525 50.17675523346044031),Pre application - closed/issued,"Land At Roskrow Barton Farm, Roskrow, Penryn",PA14/00548/PREAPP,5/8/2014,10,Pre application public,-5.1389,50.1768
Point (-4.24280806886806694 50.44307742662734029),Operational,"West Kingsmill Farm, Kingsmill Park, Hatt, Saltash",PA11/01235,4/18/2011,1.6,Operational,-4.2428,50.4431
Point (-4.23920504872236137 50.3559307848265334),Pre application - closed/issued,"Mendennick Farm, Millbrook, Torpoint",PA14/01476/PREAPP,5/21/2014,3,Pre application public,-4.2392,50.3559
